system:index,Grassland,Mixed forest,Savannas,Woody savannas,year,.geo
0,0.5472591955259873,0.642585410092819,0.5935375573565518,0.6326132201758071,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5412372461972326,0.6793674976211644,0.5727590133561844,0.6055480075096139,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5257119053593037,0.6646974938333365,0.6130712824815551,0.6357790597305903,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.543213214763696,0.6626139851364974,0.5999372135292526,0.6101533621874042,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.5556953229245043,0.6719867120368103,0.6313947935840873,0.6386140567110848,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5446166999963277,0.6812989114928725,0.617495763200168,0.6396618792360672,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5517199980270667,0.6865978206457105,0.6318927932129793,0.6563453851033237,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5418366004736587,0.6664651724083288,0.5948719965021471,0.6251651107031502,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5443330303245055,0.6704796174693247,0.6031823482726804,0.6322832825466023,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5478385408495285,0.6376544415577717,0.5945318874677755,0.6219560719588737,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5676211425710038,0.704798919072681,0.6285770756036544,0.6539506658547314,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5365918338644814,0.6173775143960625,0.5993216313582289,0.6149532639773206,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5580164036921977,0.7081198537357494,0.6292419316951502,0.6566844610729061,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5417925424541389,0.6631267940541987,0.6341121747554165,0.6449552528604112,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5546042899047378,0.6652563602796553,0.6175494837812318,0.6359438197392377,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5524724550154748,0.6950589587030028,0.6443267027547651,0.6520159755410041,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.5532682067227811,0.6782457486007064,0.651437670384612,0.6681409960512126,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.5205902265746014,0.6687847842133922,0.6331104623917804,0.6373586155039556,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.5594729369680443,0.6773558100265246,0.6401305228218496,0.6748459003477851,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.5494972073788773,0.6838253746531844,0.6311307965648586,0.6606617011989616,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
