system:index,Barrenland,Cropland,Grassland,Woody savannas,year,.geo
0,0.230502145220562,0.5372730549046744,0.3927928373415547,0.6627544030499268,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.2373321027749134,0.555202266900438,0.4161779297148782,0.6773391886060067,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.23769225348643874,0.5445610916970828,0.4269361135642403,0.6377741418123368,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.2356708450501383,0.5456727018922707,0.4108409755567539,0.6471085634014374,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.23487355604569018,0.5555417889990435,0.41576992958277836,0.6572185358368535,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.23441682504454248,0.5420506071291171,0.40522283317583907,0.6518846931372543,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.23877014038128683,0.5396518571996871,0.39964273511083037,0.683966011226005,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.23809162056885158,0.5530078221051444,0.4232669977437828,0.6744602300211499,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2362981213876016,0.549305197179313,0.4009747476623031,0.6692643091521973,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.23755572620911042,0.5518036693148535,0.4068350865923039,0.6774228710785416,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.23813489437971497,0.552296775559069,0.41249413716388417,0.6698203935978165,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.2429127741005221,0.559964069766498,0.43999451812480816,0.6690654888167336,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.24003619443643903,0.5612138735197915,0.43815158454643094,0.6682514877949953,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.23911323918487293,0.5763502270180305,0.43071296556932154,0.6991926787457154,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.23888940065099154,0.570130764293652,0.4255234200461012,0.697528283856385,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.2419448572634795,0.5560770463823949,0.42240311667537317,0.6878041620785078,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.240134300782125,0.5687400818151314,0.4239027373018537,0.7008902248391405,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.24150798517171732,0.5836189903000794,0.4564325029723862,0.7085283337987623,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.24166464141064828,0.5842205159066292,0.45095490255568826,0.7040545593550839,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.2411002801532681,0.5870388010434596,0.45543931250196473,0.6933506172125996,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
